Date,Day,Time,Session,Room
2019-05-04,Saturday,08:00 - 14:00,"""Wantae Come Oot tae Play?"": Designing for Outdoor Play",Alsh 1
2019-05-04,Saturday,08:00 - 14:00,With an Eye to the Future: HCI Research and Practice in the Arab World,Alsh 2
2019-05-04,Saturday,08:00 - 14:00,Doctoral Consortium,Forth
2019-05-04,Saturday,09:00 - 17:00,Technology to Mediate Role Conflict in Motherhood,Fyne
2019-05-04,Saturday,09:00 - 17:00,The Challenges of Working on Social Robots that Collaborate with People,Dochart 2
2019-05-04,Saturday,09:00 - 17:00,"Doing Things with Research thru Design: With What, with Whom, and Towards What Ends?",Gala 1
2019-05-04,Saturday,09:00 - 17:00,Standing on the Shoulders of Giants: Exploring the Intersection of Philosophy and HCI,Gala 2
2019-05-04,Saturday,09:00 - 17:00,Troubling Innovation: Craft and Computing Across Boundaries,Castle 2 CROWN
2019-05-04,Saturday,09:00 - 17:00,Designing Crowd-powered Creativity Support Systems,Island A CROWN
2019-05-04,Saturday,09:00 - 17:00,Human-Centered Study of Data Science Work Practices,Castle 1 CROWN
2019-05-04,Saturday,09:00 - 17:00,Where is the Human? Bridging the Gap Between AI and HCI,Carron 1
2019-05-04,Saturday,09:00 - 17:00,HCI and Aging: Beyond Accessibility,Boisdale 1
2019-05-04,Saturday,09:00 - 17:00,Looking into the Future: Weaving the Threads of Vehicle Automation,Boisdale 2
2019-05-04,Saturday,09:00 - 17:00,Emerging Perspectives in Human-Centered Machine Learning,Dochart 1
2019-05-04,Saturday,09:00 - 17:00,Hacking Blind Navigation,Carron 2
2019-05-04,Saturday,09:00 - 17:00,Designing for Digital Wellbeing: A Research and Practice Agenda,Castle 3 CROWN
2019-05-04,Saturday,09:00 - 17:00,Early Career Development,Island B CROWN
2019-05-04,Saturday,09:00 - 17:00,EduCHI 2019 Symposium: Global Perspectives on HCI Education,Argyll 3 CROWN
2019-05-04,Saturday,09:00 - 17:00,HCI Across Borders and Intersections,Argyll 2 CROWN
2019-05-04,Saturday,10:20 - 11:00,Morning coffee break,Hall 5a
2019-05-04,Saturday,12:20 - 14:00,Lunch Break (not provided),N/A
2019-05-04,Saturday,14:30 - 18:40,"HCI in China: Research Agenda, Education Curriculum, Industry Partnership, and Researcher Communities",Alsh 2
2019-05-04,Saturday,14:30 - 18:40,Unpacking the Infrastructuring Work of Patients and Caregivers around the World,Alsh 1
2019-05-04,Saturday,15:20 - 16:00,Afternoon coffee break,Hall 5a
2019-05-05,Sunday,08:00 - 14:00,International Workshop on Human-Drone Interaction,Alsh 1
2019-05-05,Sunday,08:00 - 14:00,Challenges Using Head-Mounted Displays in Shared and Social Spaces,Alsh 2
2019-05-05,Sunday,08:00 - 14:00,Doctoral Consortium,Forth
2019-05-05,Sunday,09:00 - 17:00,Everyday Automation Experience: Non-Expert Users Encountering Ubiquitous Automated Systems,Boisdale 2
2019-05-05,Sunday,09:00 - 17:00,The Future of Work,Dochart 1
2019-05-05,Sunday,09:00 - 17:00,Mid-Air Haptic Interfaces for Interactive Digital Signage and Kiosks,Gala 2
2019-05-05,Sunday,09:00 - 17:00,The Body as Starting Point: Applying Inside Body Knowledge for In-Bodied Design,Castle 1 CROWN
2019-05-05,Sunday,09:00 - 17:00,"New Directions for the IoT: Automate, Share, Build, and Care",Island B CROWN
2019-05-05,Sunday,09:00 - 17:00,Conversational Agents: Constructing Action Plans from a Wave of Research and Development,Castle 3 CROWN
2019-05-05,Sunday,09:00 - 17:00,CHInclusion: Working toward a more inclusive HCI community,Carron 2
2019-05-05,Sunday,09:00 - 17:00,CHI4EVIL: Creative Speculation On the Negative Impacts of HCI Research,Dochart 2
2019-05-05,Sunday,09:00 - 17:00,Addressing the Challenges of Situationally-induced impairments and Disabilities in Mobile Interaction,Gala 1
2019-05-05,Sunday,09:00 - 17:00,Computational Modeling in Human-Computer Interaction,Carron 1
2019-05-05,Sunday,09:00 - 17:00,All the World (Wide Web)'s a Stage: A Workshop on Live Streaming,Fyne
2019-05-05,Sunday,09:00 - 17:00,"HCI for Accurate, Impartial and Transparent Journalism: Challenges and Solutions",Island A CROWN
2019-05-05,Sunday,09:00 - 17:00,"Sensitive Research, Practice and Design in HCI",Castle 2 CROWN
2019-05-05,Sunday,09:00 - 17:00,Towards a Responsible Innovation Agenda,Boisdale 1
2019-05-05,Sunday,09:00 - 17:00,4th Symposium on Computing and Mental Health: Designing Ethical eMental Health Services,Argyll 2 CROWN
2019-05-05,Sunday,09:00 - 17:00,Asian CHI Symposium: Emerging HCI Research Collection,Argyll 3 CROWN
2019-05-05,Sunday,09:00 - 17:00,WISH - Workgroup on Interactive Systems in Healthcare,Argyll 1 CROWN
2019-05-05,Sunday,10:20 - 11:00,Morning coffee break,Hall 5a
2019-05-05,Sunday,12:20 - 14:00,Lunch Break (not provided),N/A
2019-05-05,Sunday,14:30 - 20:30,Mapping Theoretical and Methodological Perspectives for Understanding Speech Interface Interactions ,Alsh 1
2019-05-05,Sunday,14:30 - 20:30,Interaction Design and Prototyping for Immersive Analytics,Alsh 2
2019-05-05,Sunday,15:20 - 16:00,Afternoon coffee break,Hall 5a
2019-05-05,Sunday,17:00 - 19:00,Newcomers Reception,Hall 5a
2019-05-06,Monday,09:00 - 10:20,Welcome and Keynote,Clyde Auditorium
2019-05-06,Monday,09:00 - 10:20,Speaker prep room,Etive
2019-05-06,Monday,10:20 - 11:00,Morning coffee break,Hall 5a
2019-05-06,Monday,10:20 - 11:00,Speaker prep room,Etive
2019-05-06,Monday,11:00 - 12:20,Smart Homes and IoT,Hall 1
2019-05-06,Monday,11:00 - 12:20,On the Streets,Boisdale 1
2019-05-06,Monday,11:00 - 12:20,Designing for Vulnerable Populations,Gala
2019-05-06,Monday,11:00 - 12:20,AR/VR 1: Accessibility,Alsh 1
2019-05-06,Monday,11:00 - 12:20,Social Justice 1,Hall 2
2019-05-06,Monday,11:00 - 12:20,Designing Decision Support,Dochart 1
2019-05-06,Monday,11:00 - 12:20,Chronic Disease Management,Carron 1
2019-05-06,Monday,11:00 - 12:20,Values and Design,Lomod Auditorium
2019-05-06,Monday,11:00 - 12:20,Fabrication,Alsh 2
2019-05-06,Monday,11:00 - 12:20,Interacting with Videos,Boisdale 2
2019-05-06,Monday,11:00 - 12:20,Making with Fabric: Foundations of Soft Goods and E-Textiles Fabrication,Castle 3 CROWN
2019-05-06,Monday,11:00 - 12:20,Modern Vision Science for Designers: Making Designs Clear at a Glance ,Argyll 2 CROWN
2019-05-06,Monday,11:00 - 12:20,Sketching in HCI: Hands-on Course of Sketching Techniques,Castle 1 CROWN
2019-05-06,Monday,11:00 - 12:20,How to Write CHI Papers (Third Edition),Castle 2 CROWN
2019-05-06,Monday,11:00 - 12:20,Introduction to Human-Computer Interaction ,Argyll 3 CROWN
2019-05-06,Monday,11:00 - 12:20,Speaker prep room,Etive
2019-05-06,Monday,11:00 - 12:20,CHI Hard?,Carron 2
2019-05-06,Monday,11:00 - 12:20,Discourse and Disagreement,Clyde Auditorium
2019-05-06,Monday,11:00 - 12:20,Gigs and Crowds,Forth
2019-05-06,Monday,11:00 - 12:20,"Learning, Education and HCI",Island A CROWN
2019-05-06,Monday,11:00 - 12:20,Metrics and Models,Argyll 1 CROWN
2019-05-06,Monday,11:00 - 12:20,Lived Experiences and Inclusive Design,Dochart 2
2019-05-06,Monday,12:20 - 14:00,Lunch Break (not provided),N/A
2019-05-06,Monday,12:20 - 14:00,Preparing for the Future of HCI by Understanding the Past and Present,Forth
2019-05-06,Monday,12:20 - 14:00,Speaker prep room,Etive
2019-05-06,Monday,14:00 - 15:20,Perception of Data Visualization,Lomod Auditorium
2019-05-06,Monday,14:00 - 15:20,Human-Smartphone Interaction,Hall 2
2019-05-06,Monday,14:00 - 15:20,UX Theory,Boisdale 2
2019-05-06,Monday,14:00 - 15:20,"Empathy, Emotion, and Intimate Relationships",Carron 2
2019-05-06,Monday,14:00 - 15:20,Health and Well-Being,Carron 1
2019-05-06,Monday,14:00 - 15:20,Accessible Content Creation,Dochart 1
2019-05-06,Monday,14:00 - 15:20,Direct Bodily Interaction,Clyde Auditorium
2019-05-06,Monday,14:00 - 15:20,Designing for Public Spaces,Alsh 2
2019-05-06,Monday,14:00 - 15:20,Designing with Materials,Boisdale 1
2019-05-06,Monday,14:00 - 15:20,Feel the Force: Haptic Interaction,Hall 1
2019-05-06,Monday,14:00 - 15:20,Mixed Reality,Alsh 1
2019-05-06,Monday,14:00 - 15:20,Sketching in HCI: Hands-on Course of Sketching Techniques,Castle 1 CROWN
2019-05-06,Monday,14:00 - 15:20,How to Write CHI Papers (Third Edition),Castle 2 CROWN
2019-05-06,Monday,14:00 - 15:20,Speaker prep room,Etive
2019-05-06,Monday,14:00 - 15:20,Professional Presentation Training: Improve the User Experience of your CHI Presentation,Castle 3 CROWN
2019-05-06,Monday,14:00 - 15:20,Introduction to Human-Computer Interaction ,Argyll 3 CROWN
2019-05-06,Monday,14:00 - 15:20,Empirical Research Methods for Human-Computer Interaction,Argyll 2 CROWN
2019-05-06,Monday,14:00 - 15:20,Awards - Lifetime Research / Lifetime Practice,Forth
2019-05-06,Monday,14:00 - 15:20,Crowdsourcing and Peer Production,Gala
2019-05-06,Monday,14:00 - 15:20,Privacy and Sensitive Personal Data,Dochart 2
2019-05-06,Monday,14:00 - 15:20,MatHealthXB: Designing Across Borders for Global Maternal Health,Island A CROWN
2019-05-06,Monday,14:00 - 15:20,New Perspectives,Argyll 1 CROWN
2019-05-06,Monday,15:20 - 16:00,Break,Hall 5a
2019-05-06,Monday,15:20 - 16:00,Speaker prep room,Etive
2019-05-06,Monday,16:00 - 17:20,Touch and Typing,Boisdale 1
2019-05-06,Monday,16:00 - 17:20,Algorithms and UX,Dochart 2
2019-05-06,Monday,16:00 - 17:20,Touch Interfaces,Alsh 2
2019-05-06,Monday,16:00 - 17:20,Self-tracking for Health,Carron 1
2019-05-06,Monday,16:00 - 17:20,Design Fictions,Gala
2019-05-06,Monday,16:00 - 17:20,All Eyes On Us: Gaze Interactions,Hall 2
2019-05-06,Monday,16:00 - 17:20,Brain Interactions,Boisdale 2
2019-05-06,Monday,16:00 - 17:20,Tech for Education,Dochart 1
2019-05-06,Monday,16:00 - 17:20,Sound-based Interaction,Clyde Auditorium
2019-05-06,Monday,16:00 - 17:20,Novel Tracking Methods,Alsh 1
2019-05-06,Monday,16:00 - 17:20,How to Write CHI Papers (Third Edition),Castle 2 CROWN
2019-05-06,Monday,16:00 - 17:20,Sketching in HCI: Hands-on Course of Sketching Techniques,Castle 1 CROWN
2019-05-06,Monday,16:00 - 17:20,Awards - Best Thesis,Forth
2019-05-06,Monday,16:00 - 17:20,Speaker prep room,Etive
2019-05-06,Monday,16:00 - 17:20,Professional Presentation Training: Improve the User Experience of your CHI Presentation,Castle 3 CROWN
2019-05-06,Monday,16:00 - 17:20,Introduction to Human-Computer Interaction ,Argyll 3 CROWN
2019-05-06,Monday,16:00 - 17:20,Empirical Research Methods for Human-Computer Interaction,Argyll 2 CROWN
2019-05-06,Monday,16:00 - 17:20,Everyday Health and Wellbeing,Lomod Auditorium
2019-05-06,Monday,16:00 - 17:20,Evaluating HCI Methods,Hall 1
2019-05-06,Monday,16:00 - 17:20,Vibrotactile Feedback,Carron 2
2019-05-06,Monday,16:00 - 17:20,Mini Living Lab: Improving Retention and Success for Women in Tech and Diverse Teams Through Redesigning the Critique Process,Island A CROWN
2019-05-06,Monday,16:00 - 17:20,SIGCHI Research Ethics Town Hall,Argyll 1 CROWN
2019-05-06,Monday,17:30 - 19:30,Conference Reception,Hall 4
2019-05-06,Monday,17:30 - 19:30,Interactivity,Hall 4
2019-05-06,Monday,17:30 - 19:30,Doctoral Consortium Poster,Hall 4
2019-05-06,Monday,17:30 - 19:30,Student Design Competition,Hall 4
2019-05-06,Monday,17:30 - 19:30,Student Research Competition,Hall 4
2019-05-07,Tuesday,09:00 - 10:20,Makers and Streamers,Hall 2
2019-05-07,Tuesday,09:00 - 10:20,X Reality Evaluations,Dochart 2
2019-05-07,Tuesday,09:00 - 10:20,Gender,Forth
2019-05-07,Tuesday,09:00 - 10:20,User Efficiency / Modeling,Clyde Auditorium
2019-05-07,Tuesday,09:00 - 10:20,Problematic Usage,Boisdale 2
2019-05-07,Tuesday,09:00 - 10:20,Trusting Machines,Alsh 2
2019-05-07,Tuesday,09:00 - 10:20,Knowledge Work,Boisdale 1
2019-05-07,Tuesday,09:00 - 10:20,HCI for Health Professionals,Carron 1
2019-05-07,Tuesday,09:00 - 10:20,"Art, Play, and Making",Alsh 1
2019-05-07,Tuesday,09:00 - 10:20,Weighty Interactions,Dochart 1
2019-05-07,Tuesday,09:00 - 10:20,"Drones, Drones, Drones",Hall 1
2019-05-07,Tuesday,09:00 - 10:20,Interacting with AI,Lomod Auditorium
2019-05-07,Tuesday,09:00 - 10:20,Speaker prep room,Etive
2019-05-07,Tuesday,09:00 - 10:20,Communicating your Research to the Public and the Press,Island B CROWN
2019-05-07,Tuesday,09:00 - 10:20,CHI Hard with a Vengeance,Carron 2
2019-05-07,Tuesday,09:00 - 10:20,Insights in Experimental Data through Intuitive and Interactive Statistics ,Argyll 2 CROWN
2019-05-07,Tuesday,09:00 - 10:20,Ethnographic Methods for Human Factors Researchers:  Collecting and Interweaving Threads of HCI ,Argyll 3 CROWN
2019-05-07,Tuesday,09:00 - 10:20,Make This! Introduction to Electronics Prototyping Using Arduino,Castle 1 CROWN
2019-05-07,Tuesday,09:00 - 10:20,Rapid Prototyping of Augmented Reality and Virtual Reality Interfaces,Castle 2 CROWN
2019-05-07,Tuesday,09:00 - 10:20,Balancing Interaction Design,Castle 3 CROWN
2019-05-07,Tuesday,09:00 - 10:20,Bodily Play,Gala
2019-05-07,Tuesday,09:00 - 10:20,Refugees &amp; HCI: Situating HCI Within Humanitarian Research,Island A CROWN
2019-05-07,Tuesday,09:00 - 10:20,Urban and Community,Argyll 1 CROWN
2019-05-07,Tuesday,10:20 - 11:00,Break and Interactivity,Hall 4
2019-05-07,Tuesday,10:20 - 11:00,Speaker prep room,Etive
2019-05-07,Tuesday,10:20 - 11:00,Interactivity,Hall 4
2019-05-07,Tuesday,10:20 - 11:00,Doctoral Consortium Poster,Hall 4
2019-05-07,Tuesday,10:20 - 11:00,Student Design Competition,Hall 4
2019-05-07,Tuesday,10:20 - 11:00,Student Research Competition,Hall 4
2019-05-07,Tuesday,10:20 - 11:00,Poster Rotation 1,Hall 4
2019-05-07,Tuesday,11:00 - 12:20,Transportation and Mobility,Carron 2
2019-05-07,Tuesday,11:00 - 12:20,Machine Learning and Visualization,Hall 2
2019-05-07,Tuesday,11:00 - 12:20,Experiences with Unusual Form Factors,Dochart 2
2019-05-07,Tuesday,11:00 - 12:20,In the Office,Alsh 1
2019-05-07,Tuesday,11:00 - 12:20,Finance,Boisdale 2
2019-05-07,Tuesday,11:00 - 12:20,Kids and Health,Carron 1
2019-05-07,Tuesday,11:00 - 12:20,Keyboards and Shortcuts,Lomod Auditorium
2019-05-07,Tuesday,11:00 - 12:20,VR and Immersive Video,Alsh 2
2019-05-07,Tuesday,11:00 - 12:20,Materials and Fabrication,Hall 1
2019-05-07,Tuesday,11:00 - 12:20,Applications of Psychological Theory,Clyde Auditorium
2019-05-07,Tuesday,11:00 - 12:20,Intelligent Systems and Interfaces,Dochart 1
2019-05-07,Tuesday,11:00 - 12:20,Speaker prep room,Etive
2019-05-07,Tuesday,11:00 - 12:20,Communicating your Research to the Public and the Press,Island B CROWN
2019-05-07,Tuesday,11:00 - 12:20,Insights in Experimental Data through Intuitive and Interactive Statistics ,Argyll 2 CROWN
2019-05-07,Tuesday,11:00 - 12:20,Ethnographic Methods for Human Factors Researchers:  Collecting and Interweaving Threads of HCI ,Argyll 3 CROWN
2019-05-07,Tuesday,11:00 - 12:20,Make This! Introduction to Electronics Prototyping Using Arduino,Castle 1 CROWN
2019-05-07,Tuesday,11:00 - 12:20,Rapid Prototyping of Augmented Reality and Virtual Reality Interfaces,Castle 2 CROWN
2019-05-07,Tuesday,11:00 - 12:20,Balancing Interaction Design,Castle 3 CROWN
2019-05-07,Tuesday,11:00 - 12:20,Virtual Reality,Forth
2019-05-07,Tuesday,11:00 - 12:20,Get Out and Play,Gala
2019-05-07,Tuesday,11:00 - 12:20,Enabling Reflection,Boisdale 1
2019-05-07,Tuesday,11:00 - 12:20,SketCHI: Hands-On Special Interest Group on Sketching in HCI,Island A CROWN
2019-05-07,Tuesday,11:00 - 12:20,Studies: Accessibility,Argyll 1 CROWN
2019-05-07,Tuesday,12:20 - 14:00,Lunch Break (not provided),N/A
2019-05-07,Tuesday,12:20 - 14:00,Diversity &amp; Inclusion Lunch,Hall 4
2019-05-07,Tuesday,12:20 - 14:00,Speaker prep room,Etive
2019-05-07,Tuesday,14:00 - 15:20,Gaming in Virtual Reality,Hall 2
2019-05-07,Tuesday,14:00 - 15:20,"Displays, Devices, and Interaction for Visualization",Hall 1
2019-05-07,Tuesday,14:00 - 15:20,AR/VR 2,Lomod Auditorium
2019-05-07,Tuesday,14:00 - 15:20,Marginalized Populations,Dochart 2
2019-05-07,Tuesday,14:00 - 15:20,Human-Machine Relationships,Boisdale 1
2019-05-07,Tuesday,14:00 - 15:20,Chatbots and Agents,Clyde Auditorium
2019-05-07,Tuesday,14:00 - 15:20,Neurological Disease Management,Carron 1
2019-05-07,Tuesday,14:00 - 15:20,Information Management,Dochart 1
2019-05-07,Tuesday,14:00 - 15:20,Speaker prep room,Etive
2019-05-07,Tuesday,14:00 - 15:20,A Good Day to CHI Hard,Carron 2
2019-05-07,Tuesday,14:00 - 15:20,Insights in Experimental Data through Intuitive and Interactive Statistics ,Argyll 2 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Ethnographic Methods for Human Factors Researchers:  Collecting and Interweaving Threads of HCI ,Argyll 3 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Balancing Interaction Design,Castle 3 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Conceptual Models: Core to Good Design,Castle 1 CROWN
2019-05-07,Tuesday,14:00 - 15:20,"Design for Wellbeing - Tools for Research, Practice and Ethics ",Castle 2 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Making,Forth
2019-05-07,Tuesday,14:00 - 15:20,Collaboration and Technology,Alsh 2
